classe,linha,trecho
auth-users,3149,"ADD CONSTRAINT ""ai_agent_versions_created_by_fkey"" FOREIGN KEY (""created_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3179,"ADD CONSTRAINT ""ai_agents_created_by_fkey"" FOREIGN KEY (""created_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3319,"ADD CONSTRAINT ""ai_knowledge_versions_activated_by_fkey"" FOREIGN KEY (""activated_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3349,"ADD CONSTRAINT ""ai_provider_credentials_created_by_fkey"" FOREIGN KEY (""created_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3379,"ADD CONSTRAINT ""api_audit_log_actor_user_id_fkey"" FOREIGN KEY (""actor_user_id"") REFERENCES ""auth"".""users""(""id"") ON DELETE SET NULL;"
auth-users,3399,"ADD CONSTRAINT ""api_tokens_created_by_fkey"" FOREIGN KEY (""created_by"") REFERENCES ""auth"".""users""(""id"") ON DELETE RESTRICT;"
auth-users,3419,"ADD CONSTRAINT ""api_tokens_revoked_by_fkey"" FOREIGN KEY (""revoked_by"") REFERENCES ""auth"".""users""(""id"") ON DELETE SET NULL;"
auth-users,3449,"ADD CONSTRAINT ""channel_sessions_created_by_fkey"" FOREIGN KEY (""created_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3489,"ADD CONSTRAINT ""conversations_assigned_to_user_id_fkey"" FOREIGN KEY (""assigned_to_user_id"") REFERENCES ""auth"".""users""(""id"") ON DELETE SET NULL;"
auth-users,3529,"ADD CONSTRAINT ""conversations_usable_for_rag_marked_by_fkey"" FOREIGN KEY (""usable_for_rag_marked_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3679,"ADD CONSTRAINT ""incidents_acknowledged_by_fkey"" FOREIGN KEY (""acknowledged_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3699,"ADD CONSTRAINT ""incidents_resolved_by_fkey"" FOREIGN KEY (""resolved_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3789,"ADD CONSTRAINT ""messages_sent_by_user_id_fkey"" FOREIGN KEY (""sent_by_user_id"") REFERENCES ""auth"".""users""(""id"") ON DELETE SET NULL;"
auth-users,3829,"ADD CONSTRAINT ""organizations_created_by_fkey"" FOREIGN KEY (""created_by"") REFERENCES ""auth"".""users""(""id"") ON DELETE SET NULL;"
auth-users,3839,"ADD CONSTRAINT ""organizations_suspended_by_fkey"" FOREIGN KEY (""suspended_by"") REFERENCES ""auth"".""users""(""id"");"
auth-users,3849,"ADD CONSTRAINT ""platform_admins_granted_by_fkey"" FOREIGN KEY (""granted_by"") REFERENCES ""auth"".""users""(""id"") ON DELETE RESTRICT;"
auth-users,3859,"ADD CONSTRAINT ""platform_admins_revoked_by_fkey"" FOREIGN KEY (""revoked_by"") REFERENCES ""auth"".""users""(""id"") ON DELETE SET NULL;"
auth-users,3869,"ADD CONSTRAINT ""platform_admins_user_id_fkey"" FOREIGN KEY (""user_id"") REFERENCES ""auth"".""users""(""id"") ON DELETE CASCADE;"
auth-users,3909,"ADD CONSTRAINT ""user_organizations_invited_by_fkey"" FOREIGN KEY (""invited_by"") REFERENCES ""auth"".""users""(""id"") ON DELETE SET NULL;"
auth-users,3929,"ADD CONSTRAINT ""user_organizations_user_id_fkey"" FOREIGN KEY (""user_id"") REFERENCES ""auth"".""users""(""id"") ON DELETE CASCADE;"
auth-users,3939,"ADD CONSTRAINT ""user_recovery_codes_user_id_fkey"" FOREIGN KEY (""user_id"") REFERENCES ""auth"".""users""(""id"") ON DELETE CASCADE;"
auth-users,5066,"from_user_id    uuid references auth.users(id) on delete set null,"
auth-users,5067,"to_user_id      uuid references auth.users(id) on delete set null,"
auth-users,5068,"changed_by      uuid references auth.users(id) on delete set null,"
auth-users,5835,"user_id           uuid not null references auth.users(id) on delete cascade,"
auth-users,5899,"user_id           uuid not null references auth.users(id) on delete cascade,"
auth-users,7186,"created_by uuid references auth.users(id) on delete set null,"
auth-users,7461,"owner_user_id uuid references auth.users(id) on delete cascade,"
auth-users,7465,"created_by_user_id uuid references auth.users(id) on delete set null,"
