funcao,destino,linhas_definicoes,alguma_definicao_security_definer,alguma_definicao_auth_users,alguma_definicao_auth_context,alguma_definicao_auth_sessions_mfa,alguma_definicao_storage,rpc_literais_runtime
private.fn_oauth_key,Neon SQL/servico; revisar auth/storage quando marcado,6011,True,False,False,False,False,0
public.activate_kb_version,Neon SQL/servico; revisar auth/storage quando marcado,26,True,False,False,False,False,0
public.comando_da_conversa,Neon SQL/servico; revisar auth/storage quando marcado,17086,False,False,False,False,False,0
public.emit_event,Neon SQL/servico; revisar auth/storage quando marcado,69;12098;18436;19838;20428;28041,True,False,True,False,False,30
public.fn_accept_team_invite,Neon SQL/servico; revisar auth/storage quando marcado,18233;18886;18939,True,False,False,False,False,1
public.fn_activity_report,Neon SQL/servico; revisar auth/storage quando marcado,17986,False,False,False,False,False,1
public.fn_adotar_tipos_de_agendamento_sem_dono,Neon SQL/servico; revisar auth/storage quando marcado,16256,True,False,False,False,False,0
public.fn_agenda_conexoes_google_do_dono,Neon SQL/servico; revisar auth/storage quando marcado,24806,True,False,True,False,False,1
public.fn_agenda_minutes,Neon SQL/servico; revisar auth/storage quando marcado,20203,False,False,False,False,False,0
public.fn_agenda_ocupacao_google_do_dono,Neon SQL/servico; revisar auth/storage quando marcado,24773,True,False,True,False,False,2
public.fn_agenda_settings,Neon SQL/servico; revisar auth/storage quando marcado,20316;22727;24435,True,False,True,False,False,1
public.fn_agent_legacy_notice,Neon SQL/servico; revisar auth/storage quando marcado,21831,True,False,False,False,False,1
public.fn_agent_legacy_published,Neon SQL/servico; revisar auth/storage quando marcado,21852,True,False,False,False,False,0
public.fn_agent_provisioning_origin,Neon SQL/servico; revisar auth/storage quando marcado,22108,False,False,False,False,False,0
public.fn_agent_tool_usage,Neon SQL/servico; revisar auth/storage quando marcado,9716,False,False,False,False,False,1
public.fn_agent_versions_immutable,Neon SQL/servico; revisar auth/storage quando marcado,6359,False,False,False,False,False,0
public.fn_agora,Neon SQL/servico; revisar auth/storage quando marcado,11973,False,False,False,False,False,0
public.fn_ai_agent_version_content_immutable,Neon SQL/servico; revisar auth/storage quando marcado,6987;7374;11638;16539,False,False,False,False,False,0
public.fn_apaga_propostas_de_contato_anonimizado,Neon SQL/servico; revisar auth/storage quando marcado,11556,True,False,False,False,False,0
public.fn_aplicar_quadro_do_onboarding,Neon SQL/servico; revisar auth/storage quando marcado,12464,True,False,False,False,False,1
public.fn_aplicar_travas_de_suporte,Neon SQL/servico; revisar auth/storage quando marcado,27827,False,False,False,False,False,0
public.fn_appointment_change,Neon SQL/servico; revisar auth/storage quando marcado,20103;20808,True,False,True,False,False,1
public.fn_appointment_change_core,Neon SQL/servico; revisar auth/storage quando marcado,20767;22685,True,False,True,False,False,0
public.fn_appointment_confirmation_sweep,Neon SQL/servico; revisar auth/storage quando marcado,20221;22905,True,False,False,False,False,1
public.fn_appointment_enrollment_current,Neon SQL/servico; revisar auth/storage quando marcado,20334,True,False,False,False,False,1
public.fn_appointment_inbound,Neon SQL/servico; revisar auth/storage quando marcado,20148,True,False,True,False,False,0
public.fn_appointment_recover,Neon SQL/servico; revisar auth/storage quando marcado,20248;22814,True,False,False,False,False,1
public.fn_appointment_stamp,Neon SQL/servico; revisar auth/storage quando marcado,20051,True,True,True,False,False,0
public.fn_atrito_jaccard,Neon SQL/servico; revisar auth/storage quando marcado,10180,False,False,False,False,False,0
public.fn_atrito_metrics,Neon SQL/servico; revisar auth/storage quando marcado,10425;26706;31220,False,False,False,False,False,1
public.fn_attendant_metrics,Neon SQL/servico; revisar auth/storage quando marcado,5606;23833;26933,False,False,False,False,False,1
public.fn_audit_log_row,Neon SQL/servico; revisar auth/storage quando marcado,105;10847,True,False,True,False,False,0
public.fn_aviso_de_caso_coerente,Neon SQL/servico; revisar auth/storage quando marcado,30150,False,False,False,False,False,0
public.fn_buscar_trechos_das_fontes,Neon SQL/servico; revisar auth/storage quando marcado,16591,True,False,True,False,False,1
public.fn_can_view_conversation,Neon SQL/servico; revisar auth/storage quando marcado,5339,True,False,True,False,False,0
public.fn_can_view_lead,Neon SQL/servico; revisar auth/storage quando marcado,5523,True,False,True,False,False,0
public.fn_carimba_detected_at,Neon SQL/servico; revisar auth/storage quando marcado,8677,False,False,False,False,False,0
public.fn_carimba_proposta_de_dado,Neon SQL/servico; revisar auth/storage quando marcado,11518,False,False,False,False,False,0
public.fn_carimba_reativacao,Neon SQL/servico; revisar auth/storage quando marcado,8794,False,False,False,False,False,0
public.fn_carimbar_ida_ao_google,Neon SQL/servico; revisar auth/storage quando marcado,16831,False,False,False,False,False,0
public.fn_case_service_boundary,Neon SQL/servico; revisar auth/storage quando marcado,19213,True,False,False,False,False,0
public.fn_channel_routing_claim,Neon SQL/servico; revisar auth/storage quando marcado,22543,True,False,False,False,False,2
public.fn_claim_due_followup_enrollments,Neon SQL/servico; revisar auth/storage quando marcado,7286;11803;28181,True,False,False,False,False,1
public.fn_colunas_de_cliente_sao_do_sistema,Neon SQL/servico; revisar auth/storage quando marcado,25330,False,False,True,False,False,0
public.fn_comando_da_conversa,Neon SQL/servico; revisar auth/storage quando marcado,17058,False,False,False,False,False,0
public.fn_conferir_modulos_instalados,Neon SQL/servico; revisar auth/storage quando marcado,32044,False,False,False,False,False,0
public.fn_configurar_pre_go_live_canal,Neon SQL/servico; revisar auth/storage quando marcado,17350;24557,False,False,False,False,False,1
public.fn_contact_redaction_lock,Neon SQL/servico; revisar auth/storage quando marcado,23134,True,False,False,False,False,0
public.fn_contar_mensagem_ignorada,Neon SQL/servico; revisar auth/storage quando marcado,30445,True,False,False,False,False,0
public.fn_contato_anonimizado_limpa_campos_personalizados,Neon SQL/servico; revisar auth/storage quando marcado,18163,False,False,False,False,False,0
public.fn_conversation_assign,Neon SQL/servico; revisar auth/storage quando marcado,5093;5219;5441;13274;16928;18479;22467,True,True,True,False,False,7
public.fn_corpos_de_lembrete_validos,Neon SQL/servico; revisar auth/storage quando marcado,26582,False,False,False,False,False,0
public.fn_create_tenant_with_owner,Neon SQL/servico; revisar auth/storage quando marcado,18192;18284;18949,True,True,False,False,False,1
public.fn_crm_lead_close_on_stage,Neon SQL/servico; revisar auth/storage quando marcado,144,False,False,False,False,False,0
public.fn_decrypt_oauth,Neon SQL/servico; revisar auth/storage quando marcado,180;6035;24236,True,False,False,False,False,7
public.fn_definir_aviso_de_caso,Neon SQL/servico; revisar auth/storage quando marcado,30293,True,False,True,False,False,0
public.fn_definir_cliente_pela_agenda,Neon SQL/servico; revisar auth/storage quando marcado,25517,True,False,True,False,False,1
public.fn_definir_logo_da_organizacao,Neon SQL/servico; revisar auth/storage quando marcado,12721,True,False,False,False,False,1
public.fn_definir_marca_da_organizacao,Neon SQL/servico; revisar auth/storage quando marcado,12591;12803,True,False,False,False,False,1
public.fn_degraus_de_lembrete_validos,Neon SQL/servico; revisar auth/storage quando marcado,24044;26569,False,False,False,False,False,0
public.fn_demanda_abre_no_inbound,Neon SQL/servico; revisar auth/storage quando marcado,10654;19092,True,False,False,False,False,0
public.fn_demanda_encerrar,Neon SQL/servico; revisar auth/storage quando marcado,19130,True,False,False,False,False,1
public.fn_demanda_fecha_com_conversa,Neon SQL/servico; revisar auth/storage quando marcado,10712,True,False,False,False,False,0
public.fn_demanda_revision,Neon SQL/servico; revisar auth/storage quando marcado,19261,False,False,False,False,False,0
public.fn_emit_agent_case_event,Neon SQL/servico; revisar auth/storage quando marcado,12002,True,False,False,False,False,0
public.fn_emit_channel_session_status_changed,Neon SQL/servico; revisar auth/storage quando marcado,194,False,False,False,False,False,0
public.fn_emit_conversation_routing,Neon SQL/servico; revisar auth/storage quando marcado,5960;22345,True,False,False,False,False,0
public.fn_emit_event_on_lead_change,Neon SQL/servico; revisar auth/storage quando marcado,213;6121;8013,False,False,False,False,False,0
public.fn_emit_message_event,Neon SQL/servico; revisar auth/storage quando marcado,260,False,False,False,False,False,0
public.fn_encrypt_oauth,Neon SQL/servico; revisar auth/storage quando marcado,295;6022,True,False,False,False,False,3
public.fn_end_support,Neon SQL/servico; revisar auth/storage quando marcado,18417,True,False,False,False,False,1
public.fn_estampar_atribuicao_de_anuncio,Neon SQL/servico; revisar auth/storage quando marcado,13067,True,False,False,False,False,1
public.fn_event_log_e_registro,Neon SQL/servico; revisar auth/storage quando marcado,24129,False,False,False,False,False,0
public.fn_event_log_marca_registro,Neon SQL/servico; revisar auth/storage quando marcado,24187,False,False,False,False,False,0
public.fn_expurgar_auditoria_vencida,Neon SQL/servico; revisar auth/storage quando marcado,13191,True,False,False,False,False,0
public.fn_expurgar_avisos_de_caso_vencidos,Neon SQL/servico; revisar auth/storage quando marcado,30468,True,False,False,False,False,0
public.fn_expurgar_conversa_do_caso_vencida,Neon SQL/servico; revisar auth/storage quando marcado,28870,True,False,False,False,False,0
public.fn_expurgar_espelho_da_agenda,Neon SQL/servico; revisar auth/storage quando marcado,14152,True,False,False,False,False,0
public.fn_expurgar_nonces_de_oauth,Neon SQL/servico; revisar auth/storage quando marcado,15975,True,False,False,False,False,0
public.fn_expurgar_passagens_vencidas,Neon SQL/servico; revisar auth/storage quando marcado,29557,True,False,False,False,False,0
public.fn_extensions_admit_catalog,Neon SQL/servico; revisar auth/storage quando marcado,27257;31560,True,False,False,False,False,1
public.fn_extensions_assert_actor,Neon SQL/servico; revisar auth/storage quando marcado,27236,True,True,False,False,False,0
public.fn_extensions_cancel_install,Neon SQL/servico; revisar auth/storage quando marcado,27565,True,False,False,False,False,1
public.fn_extensions_configure,Neon SQL/servico; revisar auth/storage quando marcado,27583,True,False,False,False,False,1
public.fn_extensions_core_update_in_progress,Neon SQL/servico; revisar auth/storage quando marcado,27341,False,False,False,False,False,0
public.fn_extensions_fail_install,Neon SQL/servico; revisar auth/storage quando marcado,27539,True,False,False,False,False,1
public.fn_extensions_fingerprint,Neon SQL/servico; revisar auth/storage quando marcado,27252,False,False,False,False,False,0
public.fn_extensions_finish_install,Neon SQL/servico; revisar auth/storage quando marcado,27433;31641,True,False,False,False,False,1
public.fn_extensions_guard_core_update,Neon SQL/servico; revisar auth/storage quando marcado,27779,True,False,False,False,False,0
public.fn_extensions_installation_counts,Neon SQL/servico; revisar auth/storage quando marcado,27766,True,False,False,False,False,1
public.fn_extensions_permissoes_validas,Neon SQL/servico; revisar auth/storage quando marcado,31540,False,False,False,False,False,0
public.fn_extensions_prepare_install,Neon SQL/servico; revisar auth/storage quando marcado,27351,True,False,False,False,False,1
public.fn_extensions_remove_installation,Neon SQL/servico; revisar auth/storage quando marcado,27706,True,False,False,False,False,1
public.fn_extensions_revert_install,Neon SQL/servico; revisar auth/storage quando marcado,27646;31755,True,False,False,False,False,1
public.fn_finish_channel_connection,Neon SQL/servico; revisar auth/storage quando marcado,22654,True,False,False,False,False,1
public.fn_followup_apply_step,Neon SQL/servico; revisar auth/storage quando marcado,20644,True,False,False,False,False,1
public.fn_followup_claim_current,Neon SQL/servico; revisar auth/storage quando marcado,20398,True,False,False,False,False,2
public.fn_followup_generation_write,Neon SQL/servico; revisar auth/storage quando marcado,20349,True,False,True,False,False,0
public.fn_followup_inline_settle,Neon SQL/servico; revisar auth/storage quando marcado,20621,True,False,False,False,False,1
public.fn_followup_job_current,Neon SQL/servico; revisar auth/storage quando marcado,20375,True,False,False,False,False,2
public.fn_followup_patch,Neon SQL/servico; revisar auth/storage quando marcado,20407,True,False,False,False,False,1
public.fn_followup_revision,Neon SQL/servico; revisar auth/storage quando marcado,20171,True,False,False,False,False,0
public.fn_gasto_de_ia_do_mes,Neon SQL/servico; revisar auth/storage quando marcado,12946,False,False,False,False,False,2
public.fn_google_appointment,Neon SQL/servico; revisar auth/storage quando marcado,20830;21288,True,False,False,False,False,0
public.fn_google_calendar,Neon SQL/servico; revisar auth/storage quando marcado,20932,True,False,False,False,False,0
public.fn_google_calendar_fence,Neon SQL/servico; revisar auth/storage quando marcado,20817,True,False,False,False,False,0
public.fn_google_catalog,Neon SQL/servico; revisar auth/storage quando marcado,21002;21398,True,False,False,False,False,0
public.fn_google_counts_for_conflicts,Neon SQL/servico; revisar auth/storage quando marcado,21053,True,False,True,False,False,0
public.fn_google_coverage,Neon SQL/servico; revisar auth/storage quando marcado,21166,True,False,True,False,False,0
public.fn_google_projection_stamp,Neon SQL/servico; revisar auth/storage quando marcado,20717,True,False,True,False,False,0
public.fn_google_redact_contact,Neon SQL/servico; revisar auth/storage quando marcado,21121,True,False,False,False,False,0
public.fn_google_resolve,Neon SQL/servico; revisar auth/storage quando marcado,21139;22764,True,False,True,False,False,0
public.fn_google_selection,Neon SQL/servico; revisar auth/storage quando marcado,21031;22744,True,False,True,False,False,0
public.fn_is_platform_admin,Neon SQL/servico; revisar auth/storage quando marcado,312,True,False,True,False,False,0
public.fn_job_service_boundary,Neon SQL/servico; revisar auth/storage quando marcado,19158,True,False,False,False,False,0
public.fn_lgpd_anonymize_contact,Neon SQL/servico; revisar auth/storage quando marcado,23149,True,False,True,False,False,1
public.fn_lgpd_cascade_redact_contact,Neon SQL/servico; revisar auth/storage quando marcado,326;22946;23585;28373;28914;29606;30520,True,False,False,False,False,0
public.fn_liberar_leads_do_agente,Neon SQL/servico; revisar auth/storage quando marcado,10894,True,False,False,False,False,0
public.fn_limpar_vinculos_do_agendamento,Neon SQL/servico; revisar auth/storage quando marcado,14009,True,False,False,False,False,0
