tabela,policy,linha,contexto_auth
public.ai_models,ai_models_read_all,3987,False
public.ai_pricing,ai_pricing_public_read,3998,False
public.api_tokens,api_tokens_admin_only,4015,True
public.api_audit_log,audit_log_insert_tenant_member,4023,True
public.api_audit_log,audit_log_select,4031,True
public.event_log,event_log_select,4069,True
public.idempotency_keys,idempotency_tenant,4080,True
public.lgpd_requests,lgpd_requests_admin_select,4094,True
public.lgpd_requests,lgpd_requests_admin_write,4102,True
public.merge_queue,merge_queue_manager_select,4113,True
public.merge_queue,merge_queue_manager_write,4121,True
public.nuvemshop_products,nuvemshop_products_tenant,4135,True
public.orders,orders_tenant_select,4146,True
public.orders,orders_tenant_write,4154,True
public.organizations,orgs_select,4165,True
public.organizations,orgs_write_platform_admin,4173,True
public.incidents,platform_admin_only_incidents,4181,True
public.platform_admins,platform_admins_self,4192,True
public.user_recovery_codes,recovery_codes_self,4200,False
public.tenant_integrations,tenant_integrations_admin_write,4214,True
public.tenant_integrations,tenant_integrations_select,4222,True
public.ai_agent_runs,tenant_isolation_ai_agent_runs_all,4230,True
public.ai_invocations,tenant_isolation_ai_invocations_all,4240,True
public.ai_provider_credentials,tenant_isolation_ai_provider_credentials_select,4248,True
public.contacts,tenant_isolation_contacts_all,4257,True
public.storage_redaction_queue,tenant_isolation_storage_redaction_queue_all,4265,True
public.user_organizations,user_orgs_delete,4278,True
public.user_organizations,user_orgs_insert,4286,True
public.user_organizations,user_orgs_select,4294,True
public.user_organizations,user_orgs_update,4302,True
public.channel_session_warmup,warmup_tenant_isolation_all,4313,True
public.webhook_events_log,webhook_events_log_tenant_read,4324,True
storage.objects,tenant_read_ai_policy,4756,True
storage.objects,tenant_write_ai_policy,4768,True
storage.objects,tenant_delete_ai_policy,4780,True
storage.objects,tenant_read_lgpd_exports,4804,True
storage.objects,skill_assets_read,4823,True
public.crm_pipelines,crm_pipelines_select,5012,True
public.crm_pipelines,crm_pipelines_manager_write,5018,True
public.crm_stages,crm_stages_select,5034,True
public.crm_stages,crm_stages_manager_write,5040,True
public.conversations,conversations_select,5367,False
public.conversations,conversations_agent_insert,5377,True
public.conversations,conversations_agent_update,5383,True
public.conversations,conversations_agent_delete,5393,True
public.messages,messages_select,5406,True
public.messages,messages_insert,5415,True
public.messages,messages_update,5420,True
public.messages,messages_delete,5428,True
public.crm_leads,crm_leads_select,5556,False
public.crm_leads,crm_leads_insert,5561,True
public.crm_leads,crm_leads_update,5569,True
public.crm_leads,crm_leads_delete,5583,True
public.webhook_sources,webhook_sources_select,5779,True
public.webhook_sources,webhook_sources_manager_write,5785,True
public.automation_rules,automation_rules_select,5800,True
public.automation_rules,automation_rules_manager_write,5806,True
public.automation_rule_runs,automation_rule_runs_select,5820,True
public.attendant_availability,attendant_availability_select,5851,True
public.attendant_availability,attendant_availability_insert,5858,True
public.attendant_availability,attendant_availability_update,5867,True
public.attendant_availability,attendant_availability_delete,5881,True
public.attendant_availability,attendant_availability_select,5915,True
public.attendant_availability,attendant_availability_insert,5922,True
public.attendant_availability,attendant_availability_update,5931,True
public.attendant_availability,attendant_availability_delete,5945,True
public.crm_lead_activities,crm_lead_activities_select,6183,False
public.crm_lead_activities,crm_lead_activities_insert,6192,True
public.crm_lead_links,crm_lead_links_select,6204,False
public.crm_lead_links,crm_lead_links_insert,6213,True
public.crm_lead_links,crm_lead_links_update,6218,True
public.crm_lead_links,crm_lead_links_delete,6226,True
public.user_organizations,user_orgs_select,6239,True
public.followup_flow_versions,tenant_isolation_followup_flow_versions_all,7265,True
public.followup_flow_pointers,tenant_isolation_followup_flow_pointers_all,7270,True
public.followup_enrollments,tenant_isolation_followup_enrollments_all,7275,True
public.followup_enrollment_events,tenant_isolation_followup_enrollment_events_all,7280,True
public.message_templates,message_templates_select,7474,True
public.message_templates,message_templates_write,7484,True
public.conversation_notes,conversation_notes_select,7528,True
public.conversation_notes,conversation_notes_write,7534,True
public.agent_case_events,tenant_isolation_agent_case_events_select,7590,True
public.skill_versions,catalog_read_skill_versions,7714,False
public.skill_pointers,catalog_read_skill_pointers,7717,False
public.crm_lead_scores,tenant_isolation_crm_lead_scores_all,8422,True
public.crm_lead_risk_states,tenant_isolation_crm_lead_risk_states_all,8525,True
public.crm_lead_reactivations,tenant_isolation_crm_lead_reactivations_all,8788,True
public.ai_router_decisions,tenant_isolation_ai_router_decisions_all,9054,True
public.knowledge_searches,tenant_isolation_knowledge_searches_all,9095,True
public.meta_templates,tenant_isolation_meta_templates_all,9404,True
public.demandas,tenant_isolation_demandas_all,10305,True
public.demanda_conversas,tenant_isolation_demanda_conversas_all,10311,True
public.contact_field_proposals,tenant_isolation_contact_field_proposals_all,11510,True
public.org_guardrail_layers,org_guardrail_layers_select,11733,True
public.org_guardrail_layers,org_guardrail_layers_admin_write,11739,True
public.channel_sessions,channel_sessions_tenant_select,12249,True
public.channel_sessions,channel_sessions_tenant_write,12255,True
public.ai_agents,tenant_isolation_ai_agents_select,12270,True
public.ai_agents,tenant_isolation_ai_agents_write,12276,True
public.ai_agent_versions,tenant_isolation_ai_agent_versions_select,12291,True
public.ai_agent_versions,tenant_isolation_ai_agent_versions_write,12295,True
public.ai_budgets,tenant_isolation_ai_budgets_select,12308,True
public.ai_budgets,tenant_isolation_ai_budgets_write,12314,True
public.ai_routers,tenant_isolation_ai_routers_select,12329,True
public.ai_routers,tenant_isolation_ai_routers_write,12333,True
public.ai_router_members,tenant_isolation_ai_router_members_select,12345,True
public.ai_router_members,tenant_isolation_ai_router_members_write,12349,True
public.ai_purpose_bindings,tenant_isolation_ai_purpose_bindings_select,12361,True
public.ai_purpose_bindings,tenant_isolation_ai_purpose_bindings_write,12365,True
public.ai_provider_credentials,tenant_isolation_ai_provider_credentials_write,12391,True
public.ai_provider_credentials,tenant_isolation_ai_provider_credentials_select,12439,True
public.conversation_assignment_events,cae_select,13375,True
public.push_subscriptions,push_subscriptions_own,14823,True
public.webhook_lead_captures,webhook_lead_captures_manager_read,14935,True
public.calendar_event_types,calendar_event_types_select,15553,True
public.calendar_event_types,calendar_event_types_write,15558,True
public.calendar_appointments,calendar_appointments_select,15575,True
public.calendar_appointments,calendar_appointments_write,15580,True
public.calendar_availability_exceptions,calendar_availability_exceptions_select,15597,True
public.calendar_availability_exceptions,calendar_availability_exceptions_write,15602,True
public.calendar_connection_calendars,calendar_connection_calendars_select,15619,True
public.calendar_external_events,calendar_external_events_select,15636,True
public.calendar_connections,calendar_connections_dono_ou_manager_read,15646,True
public.calendar_oauth_nonces,calendar_oauth_nonces_ninguem_le,15968,False
public.ai_knowledge_sources,tenant_isolation_ai_knowledge_sources_select,16680,True
public.ai_knowledge_sources,tenant_isolation_ai_knowledge_sources_write,16686,True
public.ai_faq_items,tenant_isolation_ai_faq_items_select,16700,True
public.ai_faq_items,tenant_isolation_ai_faq_items_write,16704,True
public.ai_knowledge_versions,tenant_isolation_ai_kbv_select,16716,True
public.ai_knowledge_versions,tenant_isolation_ai_kbv_write,16722,True
public.ai_chunks,tenant_isolation_ai_chunks_select,16736,True
public.ai_chunks,tenant_isolation_ai_chunks_write,16742,True
public.catalog_products,catalog_products_select,17196,True
public.catalog_products,catalog_products_write,17202,True
public.crm_tasks,crm_tasks_select,17873,True
public.crm_tasks,crm_tasks_write,17879,True
public.idempotency_keys,idempotency_platform_creation_server_only,18275,False
storage.objects,support_write_insert,18838,True
storage.objects,support_write_update,18840,True
storage.objects,support_write_delete,18842,True
public.ai_reply_drafts,tenant_isolation_ai_reply_drafts_all,21725,True
public.channel_routing_policies,tenant_isolation_channel_routing_policies_select,22313,True
public.channel_routing_responsibles,tenant_isolation_channel_routing_responsibles_select,22316,True
public.team_invites,team_invites_select,23390,True
public.team_invites,team_invites_write,23398,True
public.voice_calls,voice_calls_select,23476,True
public.voice_calls,voice_calls_write,23479,True
public.voice_calls,voice_calls_select,23545,True
public.voice_calls,voice_calls_write,23548,True
public.org_voice_calls,org_voice_calls_select,24001,True
public.org_voice_calls,org_voice_calls_admin_write,24007,True
public.calendar_locations,calendar_locations_select,26657,True
public.calendar_locations,calendar_locations_insert,26663,True
public.organization_extensions,tenant_isolation_organization_extensions_select,27224,True
public.public,support_write_insert,27846,True
public.public,support_write_update,27848,True
public.public,support_write_delete,27850,True
public.agent_cases,tenant_isolation_agent_cases_select,28014,True
public.agent_case_chat_messages,tenant_isolation_agent_case_chat_messages_select,28854,True
public.passagens_de_atendimento,tenant_isolation_passagens_de_atendimento_select,29541,True
public.config_aviso_de_caso,leitura_config_aviso_de_caso,30272,True
public.entregas_de_aviso_de_caso,leitura_entregas_de_aviso_de_caso,30284,True
