arquivo,classe,ocorrencias,linhas,client_candidate
app/(public)/layout.tsx,Auth,1,49,False
app/(public)/login/forgot/page.tsx,Auth,1,14,False
app/(public)/login/mfa/page.tsx,Auth,2,19;22,False
app/(public)/login/page.tsx,Auth,1,24,False
app/(public)/login/recovery/page.tsx,Auth,1,19,False
app/(public)/login/reset/page.tsx,Auth,1,12,False
app/(public)/signup/page.tsx,Auth,1,49,False
app/403/page.tsx,Auth,1,15,False
app/500/page.tsx,Auth,1,27,False
app/account-suspended/page.tsx,Auth,1,30,False
app/acesso-revogado/page.tsx,Auth,1,32,False
app/actions/auth/confirmMfaEnroll.ts,Auth,3,35;42;49,False
app/actions/auth/enrollMfa.ts,Auth,4,25;29;32;56,False
app/actions/auth/politicaDeMfa.ts,Auth,2,144;147,False
app/actions/auth/recoverOrganization.ts,Auth,1,74,False
app/actions/auth/requestPasswordReset.ts,Auth,1,49,False
app/actions/auth/signInWithPassword.ts,Auth,2,68;91,False
app/actions/auth/signOut.ts,Auth,2,11;14,False
app/actions/auth/signUp.ts,Auth,1,137,False
app/actions/auth/updatePassword.ts,Auth,7,42;53;56;59;63;71;97,False
app/actions/auth/useRecoveryCode.ts,Auth,3,61;102;106,False
app/actions/auth/verifyMfa.ts,Auth,4,38;42;63;70,False
app/actions/settings/regenerateRecoveryCodes.ts,Auth,2,27;31,False
app/actions/settings/signOutEverywhere.ts,Auth,2,13;17,False
app/actions/settings/trocarIdioma.ts,Auth,1,39,False
app/actions/settings/updateProfile.ts,Auth,1,34,False
app/actions/team/acceptInvite.ts,Auth,1,36,False
app/admin/forbidden/page.tsx,Auth,1,18,False
app/api/v1/admin/audit/[entryId]/route.ts,Auth,1,75,False
app/api/v1/admin/impersonate/end/route.ts,Auth,2,15;17,False
app/api/v1/admin/platform-admins/route.ts,Auth,1,93,False
app/api/v1/admin/tenants/[id]/impersonate/route.ts,Auth,1,31,False
app/api/v1/admin/users/[id]/route.ts,Auth,1,30,False
app/api/v1/admin/users/route.ts,Auth,1,186,False
app/api/v1/agenda/pessoas/route.ts,Auth,1,65,False
app/api/v1/ai/cases/[id]/chat/route.ts,SQL-direto,3,386;398;514,False
app/api/v1/ai/cases/[id]/reply/route.ts,SQL-direto,5,217;228;230;233;271,False
app/api/v1/ai/followups/enrollments/[id]/route.ts,Auth,1,127,False
app/api/v1/ai/knowledge/sources/route.ts,Storage,1,228,False
app/api/v1/ai/knowledge/sources/upload/route.ts,Storage,3,157;171;204,False
app/api/v1/attendants/availability/route.ts,Auth,1,103,False
app/api/v1/auth/realtime-token/route.ts,Auth,2,43;52,False
app/api/v1/auth/support/route.ts,Auth,1,6,False
app/api/v1/channels/partner/templates/media/route.ts,Storage,2,106;114,False
app/api/v1/contacts/[id]/avatar/route.ts,Storage,1,77,False
app/api/v1/contacts/[id]/crm-summary/route.ts,Auth,1,84,False
app/api/v1/contacts/[id]/route.ts,Auth,1,36,False
app/api/v1/contacts/[id]/timeline/route.ts,Auth,1,49,False
app/api/v1/conversations/[id]/draft-reply/route.ts,Auth,5,40;59;66;67;83,False
app/api/v1/conversations/[id]/media/route.ts,Storage,1,101,False
app/api/v1/conversations/[id]/messages/route.ts,Auth,1,31,False
app/api/v1/conversations/[id]/notes/route.ts,Auth,1,132,False
app/api/v1/conversations/[id]/retention/route.ts,Auth,1,33,False
app/api/v1/conversations/[id]/route.ts,Auth,1,34,False
app/api/v1/conversations/counts/route.ts,Auth,1,77,False
app/api/v1/conversations/route.ts,Auth,1,26,False
app/api/v1/cron/contact-avatars/route.ts,Storage,1,208,False
app/api/v1/leads/[id]/timeline/route.ts,Auth,1,64,False
app/api/v1/leads/proposals/route.ts,Auth,1,175,False
app/api/v1/lgpd/anonymize/route.ts,Auth,1,49,False
app/api/v1/lgpd/requests/[id]/route.ts,Storage,1,82,False
app/api/v1/marca/logo/route.ts,Storage,3,306;427;439,False
app/api/v1/messages/[id]/media/route.ts,Auth,1,42,False
app/api/v1/messages/[id]/media/route.ts,Storage,1,70,False
app/api/v1/messages/_handler.ts,Storage,1,827,False
app/api/v1/metrics/attendants/route.ts,Auth,1,95,False
app/api/v1/pipelines/[id]/board/route.ts,Auth,1,422,False
app/api/v1/reports/activities/route.ts,Auth,1,159,False
app/api/v1/team/assignable/route.ts,Auth,1,56,False
app/api/v1/team/invite/route.ts,Auth,1,85,False
app/api/v1/team/route.ts,Auth,1,76,False
app/app/ai/knowledge/sources/_client.tsx,Realtime,1,57,True
app/auth/confirm/route.ts,Auth,3,86;87;101,False
app/get-started/page.tsx,Auth,1,38,False
app/legal/layout.tsx,Auth,1,22,False
app/legal/privacy/page.tsx,Auth,1,30,False
app/legal/terms/page.tsx,Auth,1,22,False
app/not-found.tsx,Auth,1,15,False
app/team/accept-invite/[token]/page.tsx,Auth,1,38,False
hooks/ai/useAgentRuns.ts,Realtime,1,108,True
hooks/auth/AuthProvider.tsx,Auth,1,63,True
hooks/auth/InterfaceRefresh.tsx,Realtime,1,70,True
hooks/inbox/useConversationNotes.ts,Realtime,1,36,True
hooks/inbox/useConversationsRealtime.ts,Realtime,1,164,True
hooks/inbox/useMessagesRealtime.ts,Realtime,1,62,True
hooks/inbox/usePassagensDaConversa.ts,Realtime,1,59,True
hooks/kanban/useBoard.ts,Realtime,1,136,True
hooks/leads/useLeadTimeline.ts,Realtime,1,104,True
hooks/notifications/useCrmAlerts.ts,Realtime,2,110;124,True
hooks/notifications/useInboundMessageAlerts.ts,Realtime,1,152,True
hooks/realtime/useRealtimeChannel.ts,Realtime,3,52;170;173,True
hooks/useAdminInboxRealtime.ts,Realtime,1,22,True
hooks/useAlertsRealtime.ts,Realtime,1,39,True
hooks/useTenantAgent.ts,Realtime,1,31,True
hooks/useTenantHealth.ts,Realtime,1,34,True
hooks/voice/useVoiceCallSession.ts,Realtime,1,442,True
lib/agent-engine/agent/approved-reply.ts,SQL-direto,1,23,False
lib/agent-engine/agent/followup-turn.ts,SQL-direto,1,746,False
lib/agent-engine/agent/human-cases.ts,SQL-direto,5,293;320;348;385;428,False
lib/agent-engine/agent/human-handoff.ts,SQL-direto,3,181;192;252,False
lib/agent-engine/agent/inbound-turn.ts,SQL-direto,6,1325;1696;2080;2087;2609;3124,False
lib/agent-engine/agent/lead-notes-recall.ts,SQL-direto,1,145,False
lib/agent-engine/agent/media-parts.ts,Storage,1,92,False
lib/agent-engine/agent/meet-delivery.ts,SQL-direto,1,34,False
lib/agent-engine/agent/operator-turn.ts,SQL-direto,1,636,False
lib/agent-engine/agent/playbook-seed.ts,SQL-direto,7,35;36;37;41;58;63;66,False
lib/agent-engine/agent/playbook.ts,SQL-direto,1,95,False
lib/agent-engine/agent/reentry-knobs.ts,SQL-direto,1,67,False
lib/agent-engine/agent/reentry-template.ts,SQL-direto,1,69,False
lib/agent-engine/agent/reply-drafts.ts,SQL-direto,3,58;105;121,False
lib/agent-engine/agent/search-knowledge.ts,SQL-direto,1,121,False
lib/agent-engine/agent/skill-references.ts,Storage,1,72,False
lib/agent-engine/agent/skills.ts,SQL-direto,1,155,False
lib/agent-engine/cron/scheduler.ts,SQL-direto,13,130;174;178;186;205;216;221;230;235;240;243;245;262,False
lib/agent-engine/db/pool.ts,SQL-direto,1,22,False
lib/agent-engine/db/request-pool.ts,SQL-direto,1,17,False
lib/agent-engine/edge/crm/drain.ts,SQL-direto,4,66;99;108;114,False
lib/agent-engine/edge/crm/send-ledger.ts,SQL-direto,1,129,False
lib/agent-engine/edge/crm/send-message.ts,SQL-direto,1,186,False
lib/agent-engine/edge/crm/session-reconciler.ts,SQL-direto,5,209;220;252;287;384,False
lib/agent-engine/edge/llm/run-model-call.ts,SQL-direto,3,366;446;894,False
lib/agent-engine/flywheel/live.ts,SQL-direto,2,167;204,False
lib/agent-engine/guardrails/before-send.ts,SQL-direto,5,1006;1008;1183;1206;1343,False
lib/agent-engine/guardrails/disclosure/template.ts,SQL-direto,1,50,False
lib/agent-engine/guardrails/jailbreak/classifier.ts,SQL-direto,1,136,False
lib/agent-engine/guardrails/lgpd/legal-basis.ts,SQL-direto,1,130,False
lib/agent-engine/guardrails/promise/table.ts,SQL-direto,1,77,False
lib/agent-engine/health/circuit.ts,SQL-direto,9,236;256;272;280;302;317;333;343;347,False
lib/agent-engine/obs/metrics.ts,SQL-direto,2,93;134,False
lib/agent-engine/pacing/aviso-de-janela.ts,SQL-direto,2,102;135,False
lib/agent-engine/pacing/store.ts,SQL-direto,1,131,False
lib/agent-engine/queue/queue.ts,SQL-direto,8,219;220;229;233;261;263;273;458,False
lib/agent-engine/spinning/store.ts,SQL-direto,1,104,False
lib/ai/handoff/orchestrator.ts,Realtime,1,364,False
lib/ai/rag/ingest/documento.ts,Storage,1,109,False
lib/ai/rag/ingest/policy.ts,Storage,1,99,False
lib/ai/replies/delivery.ts,SQL-direto,2,31;54,False
lib/ai/runtime/tools.ts,Auth,3,98;99;228,False
lib/ai/skills/db.ts,SQL-direto,1,20,False
lib/ai/skills/install.ts,Storage,2,45;50,False
lib/atendimento/aviso-caso-obsoleto.ts,SQL-direto,4,41;45;47;51,False
lib/audit/index.ts,Auth,1,73,False
lib/auth/provision.ts,Auth,2,488;542,False
lib/auth/requirePlatformAdmin.ts,Auth,2,39;57,False
lib/auth/server.ts,Auth,3,113;293;362,False
lib/followup/retorno-pg.ts,SQL-direto,1,104,False
lib/followup/turn-bridge.ts,SQL-direto,10,306;308;314;322;373;381;394;414;446;467,False
lib/impersonate/support.ts,Auth,2,54;56,False
lib/instalacao/comportamento-sql.ts,SQL-direto,1,44,False
lib/leads/agent-activity.ts,SQL-direto,2,73;110,False
lib/leads/score-writer.ts,SQL-direto,2,96;111,False
lib/leads/timeline-query.ts,Auth,1,137,False
lib/lgpd/storage-redaction-queue.ts,Storage,1,66,False
lib/mcp/tools/_users.ts,Auth,1,20,False
lib/notifications/push.handler.ts,Storage,1,53,False
lib/realtime/channels.ts,Realtime,1,13,False
lib/supabase/browser.ts,Realtime,1,117,False
lib/users/nome-do-atendente.ts,Auth,1,72,False
lib/wacalls/events-bridge.ts,SQL-direto,6,77;97;189;400;419;568,False
workers/agent-worker/main.ts,SQL-direto,2,262;481,False
workers/lgpd-export-worker.ts,Storage,3,187;197;211,False
workers/media-derive-worker.ts,Storage,1,111,False
workers/media-derive-worker.ts,SQL-direto,1,38,False
workers/media-persist-worker.ts,Storage,1,123,False
