tabela,destino,linhas_create,policies_create_candidatas,chamadas_from_literais
private.app_secrets,Neon (tabela de negocio/plataforma),6003,0,0
public.ad_conversion_dispatches,Neon (tabela de negocio/plataforma),22152,0,4
public.ad_insights_connections,Neon (tabela de negocio/plataforma),22227,0,5
public.ad_platform_connections,Neon (tabela de negocio/plataforma),22125,0,6
public.agent_case_chat_messages,Neon (tabela de negocio/plataforma),28748,1,2
public.agent_case_events,Neon (tabela de negocio/plataforma),7567,1,5
public.agent_cases,Neon (tabela de negocio/plataforma),7543,1,11
public.agent_inbox_items,Neon (tabela de negocio/plataforma),6270,0,56
public.ai_agent_runs,Neon (tabela de negocio/plataforma),938,1,7
public.ai_agent_versions,Neon (tabela de negocio/plataforma),969,2,51
public.ai_agents,Neon (tabela de negocio/plataforma),1004,2,72
public.ai_budgets,Neon (tabela de negocio/plataforma),1030,2,6
public.ai_chunks,Neon (tabela de negocio/plataforma),1049,2,3
public.ai_faq_items,Neon (tabela de negocio/plataforma),1067,2,5
public.ai_invocations,Neon (tabela de negocio/plataforma),1084,1,0
public.ai_knowledge_sources,Neon (tabela de negocio/plataforma),1110,2,26
public.ai_knowledge_versions,Neon (tabela de negocio/plataforma),1135,2,7
public.ai_models,Neon (tabela de negocio/plataforma),1157,1,16
public.ai_pricing,Neon (tabela de negocio/plataforma),1178,1,1
public.ai_provider_credentials,Neon (tabela de negocio/plataforma),1192,3,19
public.ai_purpose_bindings,Neon (tabela de negocio/plataforma),10941,2,5
public.ai_reply_drafts,Neon (tabela de negocio/plataforma),21706,1,1
public.ai_router_decisions,Neon (tabela de negocio/plataforma),8996,1,0
public.ai_router_members,Neon (tabela de negocio/plataforma),8978,2,7
public.ai_routers,Neon (tabela de negocio/plataforma),8956,2,13
public.api_audit_log,Neon (tabela de negocio/plataforma),1234,2,13
public.api_tokens,Neon (tabela de negocio/plataforma),1259,1,11
public.appointment_recovery_receipts,Neon (tabela de negocio/plataforma),20029,0,1
public.attendant_availability,Neon (tabela de negocio/plataforma),5832;5896,8,7
public.automation_rule_runs,Neon (tabela de negocio/plataforma),5756,1,7
public.automation_rules,Neon (tabela de negocio/plataforma),5736,2,16
public.before_send_traces,Neon (tabela de negocio/plataforma),6769,0,1
public.calendar_appointments,Neon (tabela de negocio/plataforma),15127,2,17
public.calendar_availability_exceptions,Neon (tabela de negocio/plataforma),15273,2,4
public.calendar_connection_calendars,Neon (tabela de negocio/plataforma),15386,1,6
public.calendar_connections,Neon (tabela de negocio/plataforma),15331,1,15
public.calendar_event_types,Neon (tabela de negocio/plataforma),15020,2,13
public.calendar_external_events,Neon (tabela de negocio/plataforma),15420,1,1
public.calendar_locations,Neon (tabela de negocio/plataforma),26636,2,2
public.calendar_oauth_nonces,Neon (tabela de negocio/plataforma),15940,1,1
public.catalog_products,Neon (tabela de negocio/plataforma),17125,2,9
public.channel_connection_requests,Neon (tabela de negocio/plataforma),22579,0,1
public.channel_knobs,Neon (tabela de negocio/plataforma),6539,0,7
public.channel_routing_policies,Neon (tabela de negocio/plataforma),22289,1,2
public.channel_routing_responsibles,Neon (tabela de negocio/plataforma),22298,1,2
public.channel_session_health,Neon (tabela de negocio/plataforma),6410,0,4
public.channel_session_warmup,Neon (tabela de negocio/plataforma),1280,1,1
public.channel_sessions,Neon (tabela de negocio/plataforma),1294,2,79
public.config_aviso_de_caso,Neon (tabela de negocio/plataforma),30091,1,4
public.contact_field_proposals,Neon (tabela de negocio/plataforma),11417,1,7
public.contacts,Neon (tabela de negocio/plataforma),1324,1,77
public.conversation_assignment_events,Neon (tabela de negocio/plataforma),5062,1,1
public.conversation_notes,Neon (tabela de negocio/plataforma),7513,2,5
public.conversations,Neon (tabela de negocio/plataforma),1365,4,76
public.crm_lead_activities,Neon (tabela de negocio/plataforma),1405,2,12
public.crm_lead_links,Neon (tabela de negocio/plataforma),1424,4,3
public.crm_lead_reactivations,Neon (tabela de negocio/plataforma),8726,1,7
public.crm_lead_risk_states,Neon (tabela de negocio/plataforma),8481,1,3
public.crm_lead_scores,Neon (tabela de negocio/plataforma),8271,1,1
public.crm_leads,Neon (tabela de negocio/plataforma),1441,4,84
public.crm_pipelines,Neon (tabela de negocio/plataforma),1477,2,38
public.crm_stages,Neon (tabela de negocio/plataforma),1497,2,48
public.crm_tasks,Neon (tabela de negocio/plataforma),17825,2,6
public.cron_jobs,Neon (tabela de negocio/plataforma),6599,0,8
public.demanda_conversas,Neon (tabela de negocio/plataforma),10274,1,1
public.demandas,Neon (tabela de negocio/plataforma),10210,1,5
public.disclosure_template_pointers,Neon (tabela de negocio/plataforma),6755,0,0
public.disclosure_template_versions,Neon (tabela de negocio/plataforma),6743,0,0
public.entregas_de_aviso_de_caso,Neon (tabela de negocio/plataforma),30173,1,7
public.event_log,Neon (tabela de negocio/plataforma),1522,1,31
public.event_service_origins,Neon (tabela de negocio/plataforma),19827,0,0
public.extension_artifacts,Neon (tabela de negocio/plataforma),27126,0,4
public.extension_catalogs,Neon (tabela de negocio/plataforma),27117,0,2
public.extension_installations,Neon (tabela de negocio/plataforma),27134,0,6
public.extension_operations,Neon (tabela de negocio/plataforma),27162,0,4
public.flywheel_distiller_proposals,Neon (tabela de negocio/plataforma),6816,0,5
public.flywheel_judge_verdicts,Neon (tabela de negocio/plataforma),6789,0,0
public.followup_enrollment_events,Neon (tabela de negocio/plataforma),7243,1,9
public.followup_enrollments,Neon (tabela de negocio/plataforma),7204,1,25
public.followup_flow_pointers,Neon (tabela de negocio/plataforma),7190,1,33
public.followup_flow_versions,Neon (tabela de negocio/plataforma),7182,1,11
public.google_ads_click_refs,Neon (tabela de negocio/plataforma),28278,0,2
public.google_ads_landing_pages,Neon (tabela de negocio/plataforma),28252,0,1
public.idempotency_keys,Neon (tabela de negocio/plataforma),1549,2,11
public.incidents,Neon (tabela de negocio/plataforma),1565,1,4
public.job_queue,Neon (tabela de negocio/plataforma),6290,0,8
public.judge_alignment_pool,Neon (tabela de negocio/plataforma),6838,0,0
public.knowledge_searches,Neon (tabela de negocio/plataforma),9071,1,0
public.lead_checkpoints,Neon (tabela de negocio/plataforma),6471,0,3
public.lead_notes,Neon (tabela de negocio/plataforma),6662,0,1
public.lead_state,Neon (tabela de negocio/plataforma),6491,0,4
public.lead_state_transitions,Neon (tabela de negocio/plataforma),6505,0,0
public.lgpd_requests,Neon (tabela de negocio/plataforma),1587,2,31
public.llm_calls,Neon (tabela de negocio/plataforma),6447,0,8
public.merge_queue,Neon (tabela de negocio/plataforma),1617,2,0
public.message_templates,Neon (tabela de negocio/plataforma),7458,2,7
public.messages,Neon (tabela de negocio/plataforma),1636,4,59
public.meta_templates,Neon (tabela de negocio/plataforma),9353,1,10
public.metrics,Neon (tabela de negocio/plataforma),6523,0,0
public.modulos_instalados,Neon (tabela de negocio/plataforma),31921,0,0
public.nuvemshop_products,Neon (tabela de negocio/plataforma),1673,1,0
public.orders,Neon (tabela de negocio/plataforma),1696,2,4
public.org_guardrail_layers,Neon (tabela de negocio/plataforma),11709,2,2
public.org_memory_entries,Neon (tabela de negocio/plataforma),7655,0,7
public.org_memory_pointers,Neon (tabela de negocio/plataforma),7649,0,3
public.org_memory_versions,Neon (tabela de negocio/plataforma),7634,0,7
public.org_voice_calls,Neon (tabela de negocio/plataforma),23988,2,2
public.organization_extensions,Neon (tabela de negocio/plataforma),27145,1,4
public.organizations,Neon (tabela de negocio/plataforma),1725,2,77
